allele_name,pipeline_names,similar_names
IGHV4-AATP*08, IGHV4-AATP*08, 
IGHV4-AATP*10, IGHV4-AATP*10, 
IGHV4-AATP*11, IGHV4-AATP*11, 
IGHV4-AATP*12, IGHV4-AATP*12, 
IGHV4-ABR2*02, IGHV4-ABR2*02, 
IGHV4-ABR2*06, IGHV4-ABR2*06, 
IGHV4-ABR2*07, IGHV4-ABR2*07, 
IGHV4-ABR2*08, IGHV4-ABR2*08, 
IGHV4-ABR2*09, IGHV4-ABR2*09, 
IGHV4-AMYK*01, IGHV4-AMYK*01, 
IGHV4-AMYK*05, IGHV4-AMYK*05, 
IGHV4-AMYK*07, IGHV4-AMYK*07, 
IGHV4-AMYK*09, IGHV4-AMYK*09, 
IGHV4-AMYK*10, IGHV4-AMYK*10, 
IGHV4-BQLH*01, IGHV4-BQLH*01, 
IGHV4-CCOK*02, IGHV4-CCOK*02, 
IGHV4-CCOK*03, IGHV4-CCOK*03, 
IGHV4-CCOK*05, IGHV4-CCOK*05, 
IGHV4-CCOK*06, IGHV4-CCOK*06, 
IGHV4-CCOK*07, IGHV4-CCOK*07, 
IGHV4-CCOK*08, IGHV4-CCOK*08, 
IGHV4-CCOK*09, IGHV4-CCOK*09, 
IGHV4-DJPP*03, IGHV4-DJPP*03, 
IGHV4-DJPP*06, IGHV4-DJPP*06, 
IGHV4-DJPP*09, IGHV4-DJPP*09, 
IGHV4-DJPP*10, IGHV4-DJPP*10, 
IGHV4-DJPP*11, IGHV4-DJPP*11, 
IGHV4-DJPP*12, IGHV4-DJPP*12, 
IGHV4-DJPP*13, IGHV4-DJPP*13, 
IGHV4-DJPP*14, IGHV4-DJPP*14, 
IGHV4-DJPP*15, IGHV4-DJPP*15, 
IGHV4-DJPP*16, IGHV4-DJPP*16, 
IGHV4-DXH5*01, IGHV4-DXH5*01, 
IGHV4-DXH5*02, IGHV4-DXH5*02, 
IGHV4-DXH5*03, IGHV4-DXH5*03, 
IGHV4-DXH5*05, IGHV4-DXH5*05, 
IGHV4-DXH5*06, IGHV4-DXH5*06, 
IGHV4-DXH5*07, IGHV4-DXH5*07, 
IGHV4-DXH5*08, IGHV4-DXH5*08, 
IGHV4-E2ZN*03, IGHV4-E2ZN*03, 
